saveFile,ImgCardSize,ImgTerrainNorth,ImgTerrainSouth,TextBonusNorth,TextBonusSouth,ImgIconNorthOne,ImgIconNorthTwo,ImgIconSouthOne,ImgIconSouthTwo
Domnio-001,cardSize.png,terrain_grass.png,terrain_lava.png,,,icon_boss.png,,,
Domnio-011,cardSize.png,terrain_grass.png,terrain_lava.png,,,,,icon_miniboss.png,icon_heart.png
Domnio-021,cardSize.png,terrain_grass.png,terrain_lava.png,,,icon_die.png,icon_heart.png,,
Domnio-031,cardSize.png,terrain_grass.png,terrain_lava.png,,,,,icon_key.png,
Domnio-041,cardSize.png,terrain_grass.png,terrain_lava.png,,,icon_die.png,,icon_key.png,icon_heart.png
Domnio-051,cardSize.png,terrain_grass.png,terrain_lava.png,,,icon_heart.png,,,
Domnio-002,cardSize.png,terrain_grass.png,terrain_sand.png,,,,,icon_miniboss.png,
Domnio-012,cardSize.png,terrain_grass.png,terrain_sand.png,,,icon_die.png,,icon_key.png,
Domnio-022,cardSize.png,terrain_grass.png,terrain_sand.png,,,icon_heart.png,,icon_key.png,icon_heart.png
Domnio-032,cardSize.png,terrain_grass.png,terrain_sand.png,,,,,,
Domnio-042,cardSize.png,terrain_grass.png,terrain_sand.png,,,icon_die.png,,icon_die.png,icon_key.png
Domnio-052,cardSize.png,terrain_grass.png,terrain_sand.png,,,,,,
Domnio-003,cardSize.png,terrain_grass.png,terrain_snow.png,,,,,icon_miniboss.png,
Domnio-013,cardSize.png,terrain_grass.png,terrain_snow.png,,,icon_die.png,,,
Domnio-023,cardSize.png,terrain_grass.png,terrain_snow.png,,,icon_heart.png,icon_key.png,,
Domnio-033,cardSize.png,terrain_grass.png,terrain_snow.png,,,,,icon_die.png,
Domnio-043,cardSize.png,terrain_grass.png,terrain_snow.png,,,icon_die.png,,,
Domnio-053,cardSize.png,terrain_grass.png,terrain_snow.png,,,,,icon_heart.png,
Domnio-004,cardSize.png,terrain_grass.png,terrain_stone.png,,,icon_boss.png,,,
Domnio-014,cardSize.png,terrain_grass.png,terrain_stone.png,,,,,icon_miniboss.png,icon_key.png
Domnio-024,cardSize.png,terrain_grass.png,terrain_stone.png,,,icon_die.png,,icon_die.png,
Domnio-034,cardSize.png,terrain_grass.png,terrain_stone.png,,,,,icon_key.png,
Domnio-044,cardSize.png,terrain_grass.png,terrain_stone.png,,,icon_key.png,icon_heart.png,,
Domnio-054,cardSize.png,terrain_grass.png,terrain_stone.png,,,,,,
Domnio-005,cardSize.png,terrain_lava.png,terrain_sand.png,,,icon_boss.png,,icon_die.png,
